time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-11T00:29:29.220Z,36.813,-116.2165,0.7,-0.2,ml,8,180.52,0.086,0.04,nn,nn00782626,2020-11-11T00:36:57.536Z,"49 km ESE of Beatty, Nevada",earthquake,,8.7,,,automatic,nn,nn
2020-11-11T00:28:13.550Z,38.8028336,-122.8203354,2.19,0.81,md,19,76,0.009167,0.04,nc,nc73480271,2020-11-11T00:29:49.007Z,"6km WNW of The Geysers, CA",earthquake,0.26,0.53,0.07,3,automatic,nc,nc
2020-11-11T00:27:05.250Z,38.8040009,-122.7376633,0.73,0.85,md,12,90,0.01755,0.07,nc,nc73480266,2020-11-11T00:28:43.719Z,"2km SSW of Cobb, CA",earthquake,0.32,0.86,0.13,4,automatic,nc,nc
2020-11-11T00:19:29.670Z,38.8025017,-122.8221664,2.31,1.1,md,22,77,0.008392,0.02,nc,nc73480261,2020-11-11T00:34:05.427Z,"6km WNW of The Geysers, CA",earthquake,0.22,0.47,0.03,4,automatic,nc,nc
2020-11-10T23:56:33.786Z,63.7521,-149.7423,0.1,2.6,ml,,,,1.08,ak,ak020ehcbd51,2020-11-11T00:11:49.040Z,"39 km WSW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T23:47:24.142Z,63.1308,-150.5564,116.2,1.7,ml,,,,0.31,ak,ak020ehc9ezi,2020-11-10T23:50:48.535Z,"71 km N of Petersville, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-11-10T23:36:01.779Z,36.45446014,-98.7766037,8.669220924,1.44,ml,12,103.450592,0.02022363804,0.3089627361,ok,ok2020wdmr,2020-11-10T23:38:02.894Z,"16 km SSE of Waynoka, Oklahoma",earthquake,3.593440054,4.532201531,,10,automatic,ok,ok
2020-11-10T23:32:26.730Z,38.1957,-117.782,7.7,2.1,ml,24,65.26,0.036,0.11,nn,nn00782618,2020-11-10T23:37:08.689Z,"35 km SE of Mina, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-11-10T23:17:43.490Z,37.9618,-118.1077,1.9,1.6,ml,12,205.04,0.174,0.14,nn,nn00782617,2020-11-10T23:27:00.327Z,"32 km N of Dyer, Nevada",earthquake,,13.2,,,automatic,nn,nn
2020-11-10T23:10:06.162Z,63.016,-151.5189,0,1.3,ml,,,,0.53,ak,ak020ehc1g3p,2020-11-10T23:19:35.529Z,"59 km S of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
